ticker,name,sector,price_12,price_11,price_10,price_9,price_8,price_7,price_6,price_5,price_4,price_3,price_2,price_1,current_price
ROL,ROL,Other,49.65,53.01,54.36,56.07,58.58,56.64,57.74,56.67,58.13,58.5,61.18,59.01,59.01
ROP,ROP,Other,577.04,585.81,590.78,557.59,566.69,572.71,542.11,518.99,497.97,448.54,443.58,434.54,434.54
ROST,ROST,Other,147.07,136.81,129.11,138.93,142.42,129.97,137.01,151.25,153.2,161.2,177.5,182.74,182.74
RSG,RSG,Other,221.06,239.62,243.72,249.41,258.07,244.67,231.21,233.12,227.29,205.28,214.07,210.2,210.2
RTX,RTX Corp,Industrial,129.92,133.83,132.85,127.41,137.46,144.19,156.81,158.01,167.2,177.04,168.02,187.25,187.25
RVTY,RVTY,Other,123.69,110.39,104.31,92.9,89.32,99.03,88.23,87.87,91.76,92.97,102.43,98.15,98.15
SBAC,SBAC,Other,197.73,221.51,220.42,240.74,231.06,238.74,228.57,202.0,191.79,193.52,188.57,192.48,192.48
SBUX,Starbucks Corp,Consumer,108.16,115.41,98.23,82.01,85.19,94.92,86.86,89.78,84.4,80.96,84.91,83.97,83.97
SCHW,Charles Schwab,Finance,82.75,78.12,77.67,81.51,88.11,91.17,95.53,96.12,92.25,93.15,92.69,101.57,101.57
SHW,Sherwin-Williams,Materials,357.64,356.73,350.57,353.64,355.44,355.3,343.41,360.92,341.22,345.64,341.49,327.84,327.84
SJM,SJM,Other,105.88,112.09,118.52,113.77,112.0,102.95,108.25,109.35,108.52,103.64,103.09,96.63,96.63
SLB,Schlumberger,Energy,40.16,39.82,42.2,33.74,33.34,35.2,33.05,35.9,35.09,37.02,36.6,40.2,40.2
SMCI,SMCI,Other,26.85,36.07,35.05,32.73,41.2,47.2,56.64,40.78,52.39,50.75,33.41,30.96,30.96
SNA,SNA,Other,352.05,334.08,339.58,311.71,316.49,317.86,317.79,323.45,345.24,337.78,338.47,350.95,350.95
SNDK,SNDK,Other,36.0,50.31,48.11,32.59,37.33,44.96,41.33,51.07,121.12,207.01,210.17,275.24,275.24
SNPS,SNPS,Other,520.25,443.26,435.94,459.36,466.15,521.78,618.65,592.01,488.78,445.72,438.29,480.42,480.42
SO,Southern Co,Utilities,83.97,90.85,91.82,91.46,89.94,92.3,94.99,92.09,94.8,93.15,89.01,87.18,87.18
SOLV,SOLV,Other,73.58,80.16,76.34,65.62,73.12,77.89,71.73,71.82,73.04,68.12,85.56,79.02,79.02
SPG,SPG,Other,173.41,187.78,166.47,158.87,162.91,164.27,160.68,178.87,185.76,176.67,185.14,183.97,183.97
SPGI,S&P Global,Finance,518.38,529.31,510.78,498.93,513.59,529.32,545.66,539.64,481.67,497.02,495.27,512.66,512.66
SRE,SRE,Other,82.59,71.44,71.56,74.7,78.02,76.18,80.97,82.89,89.26,92.58,91.5,89.71,89.71
STE,STE,Other,218.34,222.72,225.72,222.24,242.08,242.66,226.87,242.02,241.3,237.32,262.89,250.04,250.04
STLD,STLD,Other,127.92,130.5,124.0,130.29,135.71,130.16,122.37,129.02,141.0,155.97,167.62,176.06,176.06
STT,STT,Other,98.17,96.98,88.82,88.73,96.23,106.96,108.59,113.26,113.38,116.69,118.12,129.07,129.07
STX,STX,Other,93.48,100.06,84.54,90.01,119.15,145.04,154.81,170.5,256.84,265.55,270.1,287.54,287.54
STZ,STZ,Other,174.41,175.28,184.81,185.44,174.17,166.42,166.18,151.26,138.95,130.82,137.87,141.17,141.17
SW,SW,Other,53.52,50.1,45.62,40.47,42.62,45.85,44.35,47.11,42.66,36.57,35.65,39.6,39.6
SWK,SWK,Other,85.17,84.08,76.14,58.94,63.95,70.41,66.98,71.72,73.62,66.36,70.56,76.47,76.47
SWKS,SWKS,Other,85.22,65.55,64.62,65.23,68.95,77.16,67.69,73.07,76.34,76.54,65.83,64.4,64.4
SYF,SYF,Other,67.54,58.02,53.26,52.31,58.13,68.17,67.53,75.62,69.84,74.01,78.05,84.65,84.65
SYK,SYK,Other,391.14,394.88,373.3,373.99,380.86,396.74,377.79,389.94,364.15,358.16,372.32,348.18,348.18
